,"通判,布政,按察",year_Range
109,0.002533783783783784,950-959
110,0.02209631728045326,960-969
111,0.01967005076142132,970-979
112,0.04318936877076412,980-989
113,0.028032345013477088,990-999
114,0.0211864406779661,1000-1009
115,0.0365778053316801,1010-1019
116,0.059574468085106386,1020-1029
117,0.03934740882917467,1030-1039
118,0.07486033519553073,1040-1049
119,0.02971887550200803,1050-1059
120,0.0196078431372549,1060-1069
121,0.026661024121878967,1070-1079
122,0.012089810017271158,1080-1089
123,0.03492063492063492,1090-1099
124,0.014705882352941176,1100-1109
125,0.010830324909747292,1110-1119
126,0.03075677863213274,1120-1129
127,0.00408905043162199,1130-1139
128,0.027533460803059275,1140-1149
129,0.0024691358024691358,1150-1159
130,0.02790519877675841,1160-1169
131,0.00102880658436214,1170-1179
132,0.0,1180-1189
133,0.01984469370146678,1190-1199
134,0.020718232044198894,1200-1209
135,0.03085824493731919,1210-1219
136,0.041666666666666664,1220-1229
137,0.0340599455040872,1230-1239
138,0.026168224299065422,1240-1249
139,0.01951219512195122,1250-1259
140,0.031746031746031744,1260-1269
141,0.011737089201877934,1270-1279
142,0.0,1280-1289
143,0.004024144869215292,1290-1299
144,0.016068559185859668,1300-1309
145,0.008048289738430584,1310-1319
146,0.003808073115003808,1320-1329
147,0.0382028517621738,1330-1339
148,0.006181015452538631,1340-1349
149,0.009069533087000335,1350-1359
150,0.010526315789473684,1360-1369
151,0.0,1370-1379
152,0.0,1380-1389
153,0.0,1390-1399
154,0.03525354451398646,1400-1409
155,0.03690685413005272,1410-1419
156,0.019486692015209126,1420-1429
157,0.03353057199211045,1430-1439
158,0.0531459987782529,1440-1449
159,0.024390243902439025,1450-1459
160,0.027439024390243903,1460-1469
161,0.04756871035940803,1470-1479
162,0.015555555555555555,1480-1489
163,0.03616071428571429,1490-1499
164,0.006362672322375398,1500-1509
165,0.05896510228640193,1510-1519
166,0.003376748673420164,1520-1529
167,0.004484304932735426,1530-1539
168,0.06887052341597796,1540-1549
169,0.02284263959390863,1550-1559
170,0.028368794326241134,1560-1569
171,0.0042796005706134095,1570-1579
172,0.0024549918166939444,1580-1589
173,0.04331306990881459,1590-1599
174,0.02631578947368421,1600-1609
175,0.0038910505836575876,1610-1619
176,0.023278370514064017,1620-1629
177,0.026944894651539708,1630-1639
178,0.012396694214876033,1640-1649
179,0.022226881945900608,1650-1659
180,0.008461538461538461,1660-1669
181,0.006691201070592171,1670-1679
182,0.0210224558050645,1680-1689
183,0.03595317725752508,1690-1699
184,0.04106280193236715,1700-1709
185,0.02080624187256177,1710-1719
186,0.0425249169435216,1720-1729
187,0.01729515168698611,1730-1739
188,0.007734967892586106,1740-1749
189,0.009683995922528032,1750-1759
190,0.07647943831494483,1760-1769
191,0.04725085910652921,1770-1779
192,0.04487179487179487,1780-1789
193,0.030470914127423823,1790-1799
194,0.046896939062061216,1800-1809
195,0.045881126173096975,1810-1819
196,0.013966480446927373,1820-1829
197,0.042924211938296444,1830-1839
198,0.03796095444685466,1840-1849
199,0.07203823830658929,1850-1859
200,0.06279936136242682,1860-1869
201,0.008807339449541285,1870-1879
202,0.013306908267270668,1880-1889
203,0.056532663316582916,1890-1899
204,0.026094276094276093,1900-1909
205,0.04852824184566428,1910-1919
206,0.0,1920-1929
207,0.0,1930-1939
208,0.0,1940-1949
209,0.0,1950-1959
210,0.0,1960-1969
