c_personid,c_year,c_index_year
47527,1253,1223
43232,1253,1223
43285,1253,1223
43922,1253,1223
45235,1253,1223
45641,1256,1223
46061,1253,1223
46548,1253,1223
47712,1253,1223
51207,1253,1223
51303,1253,1223
47946,1253,1223
48016,1253,1223
48060,1253,1223
48145,1253,1223
48844,1256,1223
50598,1253,1223
50981,1256,1223
51698,1256,1223
52601,1253,1223
52642,1256,1223
52797,1256,1223
52919,1253,1223
103648,1265,1223
136217,1256,1223
384981,1253,1223
384982,1253,1223
384983,1253,1223
384984,1253,1223
384985,1253,1223
384986,1253,1223
384987,1253,1223
384988,1253,1223
384989,1253,1223
384990,1253,1223
384991,1253,1223
384992,1253,1223
385150,1253,1223
439014,1253,1223
473977,1253,1223
531298,1253,1223
534473,1253,1223
537625,1253,1223
537642,1253,1223
538107,1253,1223
538108,1253,1223
538767,1253,1223
538768,1253,1223
538769,1253,1223
538770,1253,1223
538771,1253,1223
538772,1253,1223
538773,1253,1223
538774,1253,1223
538775,1253,1223
538776,1253,1223
538777,1253,1223
538778,1253,1223
538779,1253,1223
538780,1253,1223
538781,1253,1223
538782,1253,1223
538783,1253,1223
538784,1253,1223
538785,1253,1223
538786,1253,1223
538787,1253,1223
538788,1253,1223
538789,1253,1223
538790,1253,1223
538791,1253,1223
538792,1253,1223
538793,1253,1223
538794,1253,1223
538795,1253,1223
538796,1253,1223
538797,1253,1223
538798,1253,1223
538799,1253,1223
538800,1253,1223
538801,1253,1223
538802,1253,1223
538803,1253,1223
538804,1253,1223
538805,1253,1223
538806,1253,1223
538807,1253,1223
538808,1253,1223
538809,1253,1223
538810,1253,1223
538811,1253,1223
538812,1253,1223
538813,1253,1223
538814,1253,1223
538815,1253,1223
538816,1253,1223
538817,1253,1223
538818,1253,1223
538819,1253,1223
538820,1253,1223
538821,1253,1223
538822,1253,1223
538823,1253,1223
538824,1253,1223
538825,1253,1223
538826,1253,1223
538827,1253,1223
538828,1253,1223
538829,1253,1223
538830,1253,1223
538831,1253,1223
538832,1253,1223
538833,1253,1223
538834,1253,1223
538835,1253,1223
538836,1253,1223
538837,1253,1223
538838,1253,1223
538839,1253,1223
538840,1253,1223
538841,1253,1223
538842,1253,1223
538843,1253,1223
538844,1253,1223
538845,1253,1223
538846,1253,1223
538847,1253,1223
538848,1253,1223
538849,1253,1223
538850,1253,1223
538851,1253,1223
538852,1253,1223
538853,1253,1223
538854,1253,1223
538855,1253,1223
538856,1253,1223
538857,1253,1223
538858,1253,1223
538859,1253,1223
538860,1253,1223
538861,1253,1223
538862,1253,1223
538863,1253,1223
538864,1253,1223
538865,1253,1223
538866,1253,1223
538867,1253,1223
538868,1253,1223
538869,1253,1223
538870,1253,1223
538871,1253,1223
538872,1253,1223
538873,1253,1223
538874,1253,1223
538875,1253,1223
538876,1253,1223
538877,1253,1223
538878,1253,1223
538879,1253,1223
538880,1253,1223
538881,1253,1223
538882,1253,1223
538883,1253,1223
538884,1253,1223
538885,1253,1223
538886,1253,1223
538887,1253,1223
538888,1253,1223
538889,1253,1223
538890,1253,1223
538891,1253,1223
538892,1253,1223
538893,1253,1223
538894,1253,1223
538895,1253,1223
538896,1253,1223
538897,1253,1223
538898,1253,1223
538899,1253,1223
538900,1253,1223
538901,1253,1223
538902,1253,1223
538903,1253,1223
538904,1253,1223
538905,1253,1223
538906,1253,1223
538907,1253,1223
538908,1253,1223
538909,1253,1223
538910,1253,1223
538911,1253,1223
538912,1253,1223
538913,1253,1223
538914,1253,1223
538915,1253,1223
538916,1253,1223
538917,1253,1223
538918,1253,1223
538919,1253,1223
538920,1253,1223
538921,1253,1223
538922,1253,1223
538923,1253,1223
538924,1253,1223
538925,1253,1223
538926,1253,1223
538927,1253,1223
538928,1253,1223
538929,1253,1223
538930,1253,1223
538931,1253,1223
538932,1253,1223
538933,1253,1223
538934,1253,1223
538935,1253,1223
538936,1253,1223
538937,1253,1223
538938,1253,1223
538939,1253,1223
538940,1253,1223
538941,1253,1223
538942,1253,1223
538943,1253,1223
538944,1253,1223
538945,1253,1223
538946,1253,1223
538947,1253,1223
538948,1253,1223
538949,1253,1223
538950,1253,1223
538951,1253,1223
538952,1253,1223
538953,1253,1223
538954,1253,1223
538955,1253,1223
538956,1253,1223
538957,1253,1223
538958,1253,1223
538959,1253,1223
538960,1253,1223
538961,1253,1223
538962,1253,1223
538963,1253,1223
538964,1253,1223
538965,1253,1223
538966,1253,1223
538967,1253,1223
538968,1253,1223
538969,1253,1223
538970,1253,1223
538971,1253,1223
538972,1253,1223
538973,1253,1223
538974,1253,1223
538975,1253,1223
538976,1253,1223
538977,1253,1223
538978,1253,1223
538979,1253,1223
538980,1253,1223
538981,1253,1223
538982,1253,1223
538983,1253,1223
538984,1253,1223
538985,1253,1223
538986,1253,1223
538987,1253,1223
538988,1253,1223
538989,1253,1223
538990,1253,1223
